salary,job_info,enterprise_attr,job_url,enterprise_industry,job_num,enterprise_scale,job_enterprise,download_timeout,depth,job_attr,exp,edu,date,download_latency,job_place,job_name,download_slot
4001-6000元/月 ,<p>岗位职责：  </p><p>1、协助领导做好综合、协调各部门工作和处理日常事务；</p><p>2、负责总经理下发的各项数据统计，分析并给出结果；</p><p>3、负责行业相关数据的分析，调查及汇总；<br></p><p>岗位要求：</p><p>1、 本科（985、211）在读学历，经济类、数学类、统计学等相关专业优先；</p><p>2、 实习生提供转正机会；</p><p>3、 具备良好的应变能力、沟通能力及组织协调能力，有一定的文字写作功底和口头表达能力，熟练使用计算机；</p><p>4、 具有较强的责任心和敬业精神，为人正直，有亲和力。</p><p><br></p><p><br></p>,合资,http://jobs.zhaopin.com/353345614250306.htm,互联网/电子商务,1人 ,100-499人,上海保保网络科技有限公司,180.0,1,实习,无经验,本科,2016-12-20,0.1832890510559082,上海,总经理助理（数据分析，统计学）,jobs.zhaopin.com
6500-9000元/月 ,<p>岗位职责：</p><p> 1、负责制作、整理、汇总、统计分析呼叫中心各种相关数据报表</p><p>2、负责相关业务数据拉取与整理，对多种数据源进行深度诊断性组合分析、挖掘，出具数据报告，为呼叫中心整体运营提供数据支持</p><p>3、协助上级领导处理各项事务，包括行政类工作</p><p>任职要求：</p><p>1、大专及以上学历，数学或统计学相关专业</p><p>2、具备数据统计整合工作经验 ，对呼叫中心有一定的认知和理解</p><p>3、具备较强的数据分析及处理能力，能够熟练运用Excel、PPT软件，特别是公式及函数运用，能够制作专业数据分析报表及汇报PPT</p><p>4、对数据敏感、逻辑性强，分析问题客观有依据</p><p>5、具备较强的抗压能力、沟通表达能力，能够在工作中独挡一面</p><p>6、诚信正直、积极主动、做事细心</p><p>7、熟练运用WORD/EXCEL/PPT/VISIO等软件，熟悉Excel函数公式及数据透视表使用并制作各类报表</p>,合资,http://jobs.zhaopin.com/592059325250066.htm,互联网/电子商务,1人 ,100-499人,上海跨境通国际贸易有限公司,180.0,1,全职,不限,大专,2016-12-20,0.16109013557434082,上海,呼叫中心数据分析专员兼经理助理,jobs.zhaopin.com
6001-8000元/月 ,<p>岗位职责：</p><p>1、负责对远程传输回来的数据进行整理、挖掘及分析工作，撰写数据分析报告； <br> 2、负责参与业务部门数据分析需求的调研、分析及业务数据报表实现； <br> 3、根据业务需求，对海量业务数据进行处理、整合、分析，为运营及决策提供业务分析及数据支持； <br> 4、根据项目需求，建立各种行业数理统计模型；</p><p>任职资格：</p><p>1、本科及以上学历，数学、统计学、经济、金融学等相关专业优先； <br> 2、极度数据敏感、逻辑思维超强，精通SPSS等各类数据分析工具，有金融行业背景者优先考虑；<br> 3、心思缜密、注重细节、不辞劳苦，能在专业领域深耕苦干；<br> 4、具备强烈的进取欲望，能够承担高压力高产出的工作。</p><p><br></p>,合资,http://jobs.zhaopin.com/368870737250068.htm,快速消费品（食品/饮料/烟酒/日化）,1人 ,20-99人,上海游城贸易有限公司,180.0,1,全职,1-3年,本科,2016-12-20,0.1705608367919922,上海,数据分析专员,jobs.zhaopin.com
10001-15000元/月 ,"<p>岗位职责：<br>1、 带领数据分析师为各部门提供数据分析服务，并根据数据分析结果为业务提供策略支持<br>2、带领分析师团队监控竞品动态和行业讯息并进行分析，定期产出分析报告<br>3、指导媒体渠道效果监测工具开发、优化市场营销数据分析工作效率<br>4、从海量市场营销数据中发现问题，并依据数据分析结果产出解决方案建议<br><br></p><p>任职要求：<br>1、本科以上学历，数学、统计、信息管理等相关专业<br>2、极强的数据敏感度和数据分析能力，优秀的信息整合和分析能力，严密的逻辑思维能力，具备利用数据分析解决业务问题的能力<br>3、三年以上数据分析工作经验<br>4、游戏、互联网、电商、快消、行业媒体研究和分析工作经验优先，具备团队管理经验者优先<br> <br>5. 熟练独立编写商业数据分析报告，及时发现和分析其中隐含的变化和问题;<br>6. 熟悉数据分析的理论知识，掌握数据分析基本原理与一些有效的数据分析方法，并能灵活运用到实践工作中，熟练使用Excel，包括图表制作，函数及数据透视表运用等;<br>7. 熟悉统计软件，如：SPSS, SAS, Excel Macros, SQL等;<br>8. 对数据分析有强烈兴趣，有良好的学习能力和强烈的进取心;思维缜密、思路清晰，注重细节，较好的逻辑分析能力;<br>9. 良好的口头、书面表达能力和灵活应变能力;<br>10. 具有良好的团队协调能力和团队合作精神，有一定抗压能力;<br>11. 具备数据深层次挖掘的能力，善于发现数据的变化规律</p><p><br></p>",民营,http://jobs.zhaopin.com/120004310252557.htm,广告/会展/公关,1人 ,1000-9999人,华扬联众数字技术股份有限公司,180.0,1,全职,3-5年,不限,2016-12-20,0.1889200210571289,上海,数据分析经理,jobs.zhaopin.com
4001-6000元/月 ,"<p>岗位职责：</p><p>1.为日常业务工作、管理决策、产品研究提供数据支   持；                                                      </p><p>2.对各项数据进行分析，完善统计标准；                              </p><p>3.维护日常数据报表、数据统计、处理以及相关部门同事协调沟通；                 <span style=""line-height: 1.5;"">4.进行新品/老品销售预测及下单，制定进仓及生产计划，管理和控制缺货和库存；   5.通过挖掘商品/会员/平台数据，优化预测逻辑，不断寻找商品的销售规律，为产品端提供有价值的数据信息；                                           </span></p><p><span style=""line-height: 1.5;"">6.完成交办的其他数据分析类工作。          </span></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p><p>任职要求：<br></p><p>1.计算机/统计/数学相关专业；            </p><p>2.熟练运用excel/access，精通函数运用，掌握sql数据库语言，至少能够使用1种统计分析软件；                         </p><p>3.1年以上数据处理经验；                   </p><p>4.有财务分析、营运分析背景者优先；        </p><p>5.较强的逻辑分析能力；                      </p><p>6.具有责任心，沟通协调能力，能够承受压力;                                   <span style=""line-height: 1.5;"">7.具有强的学习能力并能够针对工作不断给出优化方案    </span></p><p><br></p><p><br></p><p><br></p><p><br></p><p><br></p>",外商独资,http://jobs.zhaopin.com/469502010250459.htm,互联网/电子商务,1人 ,100-499人,上海丽芙家居用品有限公司,180.0,1,全职,1-3年,本科,2016-12-20,0.1833019256591797,上海,数据分析专员,jobs.zhaopin.com
6001-8000元/月 ,<p><strong>工作职责：</strong><br>1：通过数据核对，报表处理等工作，能发现并解决问题， 确保数据库中的数据准确无误，同时负责数据报表开发及维护；<br>2：与各区域销售主管沟通，第一时间掌握实际销售状况；<br>3：提供daily，weekly，monthly等日常报表，以及其他数据&amp;报表支持；<br>4：与财务，物流等部门合作，提供数据支持；<br>5：上级分配的其他关于项目或业务分析方面的工作。</p><p> </p><p><strong>任职要求：</strong><br>1：本科及以上学历，数学，财务，计算机、信息管理等相关专业；<br>2：1年以上数据管理或财务分析相关工作经验，行业不限；<br>3：熟练使用EXCEL等办公软件，熟悉VBA运用；<br>4：较好的数据敏感度，逻辑性强，熟悉数据库；<br>5：工作认真负责，专注并注重细节；<br>6：具备基本的英语沟通能力，会法语者更佳。</p><p></p>,外商独资,http://jobs.zhaopin.com/367704832250375.htm,快速消费品（食品/饮料/烟酒/日化）,1人 ,1000-9999人,皮尔法伯(上海)化妆品咨询有限公司,180.0,1,全职,1-3年,本科,2016-12-20,0.32012081146240234,上海,Commercial Analyst 商业数据分析师,jobs.zhaopin.com
8001-10000元/月 ,<p>岗位职责：</p><p></p><p>1、制定网站数据分析与监控策划，进行数据监测、分析、统计和设计；</p><p>2、负责对网站的UV、PV、访问深度、跳失率、转化率等，用户获取、用户质量、内容使用、关键行为转化等做专业数据分析；</p><p>3、分析网站产品及用户行为，为产品、运营及市场推广的优化提供数据支持；   </p><p></p><p>4、能依据用户行为数据推测客户潜在需求，提高目标转换率，设计各种数据报表，并进行系统的数据分析工作。</p><p> </p><p>任职要求：</p><p></p><p>1、大专及以上学历，2年以上网站数据分析经验，擅长进行数据分析和数据掘；</p><p>2、有制作分析报告经验，熟悉EXCEL等统计分析软件，对数据敏感；</p><p>3、熟悉互联网运营，理解互联网产品业务逻辑及相关衡量标准。</p><p></p>,民营,http://jobs.zhaopin.com/625907621250166.htm,基金/证券/期货/投资,1人 ,1000-9999人,宁圣金融信息服务(上海)有限公司,180.0,1,全职,1-3年,不限,2016-12-19,0.0807950496673584,上海,数据分析师（网站、互联网金融）,jobs.zhaopin.com
6500-7500元/月 ,<p>销售数据分析 - (编号81127) 日语必须</p><p>关键词：生活用品 快消  销售管理 业绩分析</p><p> </p><p>■基本情报■</p><p>工作地点：上海市区</p><p>年龄：22-35</p><p>语言：日语好</p><p>学历：大学毕业以上</p><p>工资范围：6500 - 7500元</p><p> </p><p>■職務内容■</p><p>1.对销售提供的销售数据进行品类，品项，周，月进行相应的分析及汇总。       </p><p>2.催促销售人员按照公司的要求提供销售相关数据。       </p><p>3.能通过销售数据发现问题并及时进行汇报。       </p><p>4.其他领导交办的内容。       </p><p><br></p><p>■必須条件■</p><p>1.大学毕业以上，日语好。性格稳重，冷静，对数字敏感       </p><p>2.精通EXCEL的各类函数公式，以及其他数据工具       </p><p>3.有2年以上相关工作经验       </p><p></p><p>【企業情報】 </p><p>当社は、国内有名な総合製紙メーカーです。新聞用紙、印刷・出版用紙、情報用紙、包装用紙、段ボール原紙、家庭紙など2万種以上の紙をパルプから一貫生産する総合製紙メーカーです。 </p><p> </p><p>此职位为日语职位，工作内容日语必须，特别注明除外。 <br> 若对此职位有任何疑问，可以通过以下联系方式联系我们。 <br> 由于应聘者很多，添加时请注明您的信息，谢谢。</p><p>_______________________________________________________________________</p><p>★更多日企热门招聘请戳我 ：http://www.rgf-hragent.com.cn</p><p>★転職をお考えのお知り合いがいらっしゃいましたら、ぜひご紹介ください。</p><p>プレゼントを用意しております！ _______________________________________________________________________ <br> 上海公司地址：上海市黄浦区淮海中路8号兰生大厦9楼901-908 <br> 联系方式：(021)5331-8000</p><p>邮箱地址：hr@rgf-hragent.com.cn</p><p>公司主页：http://www.rgf-hragent.com.cn</p><p><br></p>,外商独资,http://jobs.zhaopin.com/334040116280661.htm,专业服务/咨询(财会/法律/人力资源等),1人 ,100-499人,上海艾杰飞人力资源有限公司,180.0,1,全职,1-3年,本科,2016-12-20,0.19188594818115234,上海,销售数据分析 - (编号81127) 日语必须,jobs.zhaopin.com
6001-8000元/月 ,"<p><span style=""color: rgb(192, 0, 0);""><strong>因公司业务扩张，现特需大量以下岗位人才，欢迎您踊跃加入我们公司，一起努力共同成长，无经验亦可！    </strong></span></p><p>工作职责：<br>     1、 梳理用户服务部数据分析需求，规划报表需求，实现日常数据可视化；<br>     2、 负责WEB 端以及APP端的产品业务分析、用户行为分析、用户画像分析，通过分析挖掘业务，能够给产品端、业务端提供合理化的建议；<br>     3、 与多部门（包括业务部门、和大数据研发部等）密切沟通，负责所需数据的提取、查询、处理、分析等工作，以解决用户服务部的数据问题与需求；<br>     4、 监控用户服务部日常运营及业务指标，及时对异常情况进行预警；<br>     5、 及时完成领导交办的其他任务。<br>     <br>     任职要求<br>     1、本科及以上学历，计算机、经济、统计、软件工程、信息管理等相关专业；<br>     2、具备优秀的职业素养和职业道德，热爱本行业，工作责任心强，有敬业精神，具备良好的团队合作精神；<br>     3、较强的学习接收能力，能快速熟练的掌握公司软件产品的各种功能；<br>     4、具有一定的分析问题和解决问题能力，能结合公司产品特点设计简单高效的解决方案。<br>     <br>     公司福利：<br>     <br>     1、五险一金、补充医疗保险<br>     2、交通补贴、通讯补贴、餐饮补贴、生日补贴<br>     3、年终奖、绩效奖金<br>     4、员工聚餐、年度体检、旅游活动等<br>     5、完善的假期组合：除了法定带薪年假外，根据工作年限我们还提供额外带薪假期<br>     6、公司免费提供员工公寓    <br></p><p><br></p>",民营,http://jobs.zhaopin.com/465281619262137.htm,大型设备/机电设备/重工业,20人 ,1000-9999人,上海武创信息科技有限公司,180.0,1,全职,不限,不限,2016-12-20,0.24046683311462402,上海,数据分析师 包食宿161208,jobs.zhaopin.com
15000-25000元/月 ,<p>关键词：外包 数据分析 技术支持 项目总监</p><p>■基本情报■ <br>工作地点：上海市区<br>年龄：32-40岁<br>语言：熟练掌握英语或日语<br>学历：大专<br>工资范围：15000 - 25000元<br>  <br>■職務内容■<br>1.制定数据分析服务战略，为客户提供更完善的服务 <br>2.能够组建团队，管理团队 <br>3.能够推进事业</p><p>■必須条件■<br>1.32-40岁 <br>2.从事数据分析经验10年以上，管理经验5年以上 <br>3.熟练掌握英语或日语 <br>4.现任数据公司经理以上级别<br> <br>【企業情報】 <br>公司专业为企业提供客户联络中心、电子商务、信息系统开发、数字整合传播等一站式解决方案和外包服务，在电信、互联网、汽车、银行、零售、IT制造业、服装、美妆、母婴等行业有丰富的实践和经验。<br> <br>此职位为日语职位，工作内容日语必须，特别注明除外。 <br>若对此职位有任何疑问，可以通过以下联系方式联系我们。 <br>由于应聘者很多，添加时请注明您的信息，谢谢。<br>_______________________________________________________________________<br>★更多日企热门招聘请戳我 ：http://www.rgf-hragent.com.cn<br>★転職をお考えのお知り合いがいらっしゃいましたら、ぜひご紹介ください。<br>プレゼントを用意しております！ _______________________________________________________________________ <br>上海公司地址：上海市黄浦区淮海中路8号兰生大厦9楼901-908 <br>联系方式：(021)5331-8000<br>邮箱地址：hr@rgf-hragent.com.cn<br>公司主页：http://www.rgf-hragent.com.cn</p><p></p>,外商独资,http://jobs.zhaopin.com/334040116282205.htm,专业服务/咨询(财会/法律/人力资源等),1人 ,100-499人,上海艾杰飞人力资源有限公司,180.0,1,全职,10年以上,大专,2016-12-20,0.183121919631958,上海,数据分析服务总监--(编号84370),jobs.zhaopin.com
